Country, Head of State Title,Head of State Name, Head of Government Title,Head of Government Name
Afghanistan,President, Ashraf Ghani,Chief Executive, Abdullah Abdullah
Albania,President, Ilir Meta,Prime Minister, Edi Rama
Algeria,Acting President, Abdelkader Bensalah,Prime Minister, Noureddine Bedoui
Andorra,Episcopal Co-Prince, Joan Enric Vives Siclia,Head of Government, Xavier Espot Zamora
Andorra,French Co-Prince, Josep Maria Mauri,Head of Government, Xavier Espot Zamora
Angola,President, Joo Loureno,,
Antigua and Barbuda,Governor-General, Sir Rodney Williams,Prime Minister, Gaston Browne
Argentina,President, Mauricio Macri,,
Armenia,President, Armen Sarkissian,Prime Minister, Nikol Pashinyan
Australia,Governor-General, David Hurley,Prime Minister, Scott Morrison
Austria,Federal President, Alexander Van der Bellen,Federal Chancellor, Brigitte Bierlein
Azerbaijan,President, Ilham Aliyev,Prime Minister, Novruz Mammadov
Bahamas,Governor-General, Sir Cornelius A. Smith,Prime Minister, Hubert Minnis
Bahrain,King, Sheikh Hamad bin Isa Al Khalifa,Prime Minister, Prince Khalifa bin Salman Al Khalifa
Bangladesh,President, Abdul Hamid,Prime Minister, Sheikh Hasina
Barbados,Governor-General, Dame Sandra Mason,Prime Minister, Mia Mottley
Belarus,President, Alexander Lukashenko,Prime Minister, Syarhey Rumas
Belgium,King, Philippe,Prime Minister, Charles Michel
Belize,Governor-General, Sir Colville Young,Prime Minister, Dean Barrow
Benin,President, Patrice Talon,,
Bhutan,King, Jigme Khesar Namgyel Wangchuck,Prime Minister, Lotay Tshering
Bolivia,President, Evo Morales,,
Bosnia and Herzegovina,High Representative, Valentin Inzko,,
Botswana,President, Mokgweetsi Masisi,,
Brazil,President, Jair Bolsonaro,,
Brunei,Sultan and Prime Minister, Hassanal Bolkiah,,
Bulgaria,President, Rumen Radev,Prime Minister, Boyko Borisov
Burkina Faso,President, Roch Marc Christian Kabor,Prime Minister, Christophe Joseph Marie Dabir
Burundi,President, Pierre Nkurunziza,,
Cambodia,King, Norodom Sihamoni,Prime Minister, Hun Sen
Cameroon,President, Paul Biya,Prime Minister, Joseph Ngute
Canada,Governor General, Julie Payette,Prime Minister, Justin Trudeau
Cape Verde,President, Jorge Carlos Fonseca,Prime Minister, Ulisses Correia e Silva
Central African Republic,President, Faustin-Archange Touadra,Prime Minister, Firmin Ngrbada
Chad,President, Idriss Dby,,
Chile,President, Sebastin Piera,,
China,China Communist Party, Xi Jinping,,
China,President State Council, Li Keqiang,,
Colombia,President, Ivn Duque,,
Comoros,President, Azali Assoumani,,
Congo,President, Flix Tshisekedi,Prime Minister, Sylvestre Ilunga
Congo,President, Denis Sassou Nguesso,Prime Minister, Clment Mouamba
Costa Rica,President, Carlos Alvarado Quesada,,
Croatia,President, Kolinda Grabar-Kitarovi,Prime Minister, Andrej Plenkovi
Cuba,Cuba Communist Party, Ral Castro,,
Cuba,President of the Council of State and President of the Council of Ministers, Miguel Daz-Canel,,
Cyprus,President, Nicos Anastasiades,,
Czech Republic,President, Milo Zeman,Prime Minister, Andrej Babi
Denmark,Prime Minister, Mette Frederiksen,,
Djibouti,President, Ismal Omar Guelleh,Prime Minister, Abdoulkader Kamil Mohamed
Dominica,President, Charles Savarin,Prime Minister, Roosevelt Skerrit
Dominican Republic,President, Danilo Medina,,
East Timor,President, Francisco Guterres,Prime Minister, Taur Matan Ruak
Ecuador,President, Lenn Moreno,,
Egypt,President, Abdel Fattah el-Sisi,Prime Minister, Moustafa Madbouly
El Salvador,President, Nayib Bukele,,
Equatorial Guinea,President, Teodoro Obiang Nguema Mbasogo,Prime Minister, Francisco Pascual Obama Asue
Eritrea,President, Isaias Afwerki,,
Estonia,President, Kersti Kaljulaid,Prime Minister, Jri Ratas
Eswatini,King, Mswati III,Prime Minister, Ambrose Mandvulo Dlamini
Ethiopia,President, Sahle-Work Zewde,Prime Minister, Abiy Ahmed
Fiji,President, Jioji Konrote,Prime Minister, Frank Bainimarama
Finland,President, Sauli Niinist,Prime Minister, Antti Rinne
France,President, Emmanuel Macron,Prime Minister, douard Philippe
Gabon,President, Ali Bongo Ondimba,Prime Minister, Julien Nkoghe Bekale
Gambia,President, Adama Barrow,,
Georgia,President, Salome Zourabichvili,Prime Minister, Giorgi Gakharia
Germany,President, Frank-Walter Steinmeier,Chancellor, Angela Merkel
Ghana,President, Nana Akufo-Addo,,
Greece,President, Prokopis Pavlopoulos,Prime Minister, Kyriakos Mitsotakis
Grenada,Governor-General, Dame Ccile La Grenade,Prime Minister, Keith Mitchell
Guatemala,President, Jimmy Morales,,
Guatemala,President-elect, Alejandro Giammattei,,
Guinea,President, Alpha Cond,Prime Minister, Ibrahima Kassory Fofana
Guinea-Bissau,Acting President, Jos Mrio Vaz,Prime Minister, Aristides Gomes
Guyana,President, David A. Granger,Prime Minister, Moses Nagamootoo
Haiti,President, Jovenel Mose,Prime Minister, Fritz-William Michel
Honduras,President, Juan Orlando Hernndez,,
Hungary,President, Jnos der,Prime Minister, Viktor Orbn
Iceland,President, Guni Th. Jhannesson,Prime Minister, Katrn Jakobsdttir
India,President, Ram Nath Kovind,Prime Minister, Narendra Modi
Indonesia,President, Joko Widodo,,
Iran,Supreme Leader, Ali Khamenei,President, Hassan Rouhani
Iraq,President, Barham Salih,Prime Minister, Adil Abdul-Mahdi
Ireland,President, Michael D. Higgins,Taoiseach, Leo Varadkar
Israel,President, Reuven Rivlin,Prime Minister, Benjamin Netanyahu
Italy,Italy Council of Ministers, Giuseppe Conte,,
Ivory Coast,President, Alassane Ouattara,Prime Minister, Amadou Gon Coulibaly
Jamaica,Governor-General, Sir Patrick Allen,Prime Minister, Andrew Holness
Japan,Emperor, Naruhito,Prime Minister, Shinz Abe
Jordan,King, Abdullah II,Prime Minister, Omar Razzaz
Kazakhstan,Kazakhstan Security Council, Nursultan Nazarbayev,,
Kazakhstan,President, Qasym-Zhomart Toqaev,Prime Minister, Askar Mamin
Kenya,President, Uhuru Kenyatta,,
Kiribati,President, Taneti Mamau,,
Kuwait,Emir, Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah,Prime Minister, Sheikh Jaber Al-Mubarak Al-Hamad Al-Sabah
Kyrgyzstan,President, Sooronbay Jeenbekov,Prime Minister, Mukhammedkalyi Abylgaziev
Laos,Laos Communist Party, Bounnhang Vorachith,,
Laos,President, Bounnhang Vorachith,Prime Minister, Thongloun Sisoulith
Latvia,President, Egils Levits,Prime Minister, Krijnis Kari
Lebanon,Lebanon Council of Ministers, Saad Hariri,,
Lesotho,King, Letsie III,Prime Minister, Tom Thabane
Liberia,President, George Weah,,
Libya,Libya Presidential Council and Prime Minister, Fayez al-Sarraj,,
Liechtenstein,Prince Regnant, Hans-Adam II,Head of Government, Adrian Hasler
Liechtenstein,Regent, Hereditary Prince Alois,,
Lithuania,President, Gitanas Nausda,Prime Minister, Saulius Skvernelis
Luxembourg,Grand Duke, Henri,Prime Minister, Xavier Bettel
Madagascar,President, Andry Rajoelina,Prime Minister, Christian Ntsay
Malawi,President, Peter Mutharika,,
Malaysia,Yang di-Pertuan Agong, Abdullah,Prime Minister, Mahathir Mohamad
Maldives,President, Ibrahim Mohamed Solih,,
Mali,President, Ibrahim Boubacar Keta,Prime Minister, Boubou Cisse
Malta,President, George Vella,Prime Minister, Joseph Muscat
Marshall Islands,President, Hilda Heine,,
Mauritania,President, Mohamed Ould Ghazouani,Prime Minister, Ismail Ould Bedde Ould Cheikh Sidiya
Mauritius,Acting President, Barlen Vyapoory,Prime Minister, Pravind Jugnauth
Mexico,President, Andrs Manuel Lpez Obrador,,
Micronesia,President, David W. Panuelo,,
Moldova,President, Igor Dodon,Prime Minister, Maia Sandu
Monaco,Sovereign Prince, Albert II,Minister of State, Serge Telle
Mongolia,President, Khaltmaagiin Battulga,Prime Minister, Ukhnaagiin Khrelskh
Montenegro,President, Milo ukanovi,Prime Minister, Duko Markovi
Morocco,King, Mohammed VI,Head of Government, Saadeddine Othmani
Mozambique,President, Filipe Nyusi,Prime Minister, Carlos Agostinho do Rosrio
Myanmar,President, Win Myint,State Counsellor, Aung San Suu Kyi
Namibia,President, Hage Geingob,Prime Minister, Saara Kuugongelwa
Nauru,President, Lionel Aingimea,,
Nepal,President, Bidhya Devi Bhandari,Prime Minister, Khadga Prasad Oli
Netherlands,King, Willem-Alexander,Prime Minister, Mark Rutte
New Zealand,Governor-General, Dame Patsy Reddy,Prime Minister, Jacinda Ardern
Nicaragua,President, Daniel Ortega,,
Niger,President, Mahamadou Issoufou,Prime Minister, Brigi Rafini
Nigeria,President, Muhammadu Buhari,,
North Korea,North Korea Workers' Party of Korea, Kim Jong-un,,
Supreme Leader,Supreme Leader Presidium of the Supreme People's Assembly, Choe Ryong-hae,Premier of the Cabinet, Kim Jae-ryong
North Macedonia,North Macedonia Government, Zoran Zaev,,
Norway,King, Harald V,Prime Minister, Erna Solberg
Oman,Sultan and Prime Minister, Qaboos bin Said al Said,,
Pakistan,President, Arif Alvi,Prime Minister, Imran Khan
Palau,President, Thomas Remengesau Jr.,,
Palestine,President, Mahmoud Abbas,Prime Minister, Mohammad Shtayyeh
Panama,President, Laurentino Cortizo,,
Papua New Guinea,Governor-General, Sir Bob Dadae,Prime Minister, James Marape
Paraguay,President, Mario Abdo Bentez,,
Peru,President, Martn Vizcarra,Prime Minister, Salvador del Solar
Philippines,President, Rodrigo Duterte,,
Poland,President, Andrzej Duda,Prime Minister, Mateusz Morawiecki
Portugal,President, Marcelo Rebelo de Sousa,Prime Minister, Antnio Costa
Qatar,Emir, Sheikh Tamim bin Hamad Al Thani,Prime Minister, Sheikh Abdullah bin Nasser bin Khalifa Al Thani
Romania,President, Klaus Iohannis,Prime Minister, Viorica Dncil
Russia,President, Vladimir Putin,Prime Minister, Dmitry Medvedev
Rwanda,President, Paul Kagame,Prime Minister, douard Ngirente
Saint Kitts and Nevis,Governor-General, Sir Tapley Seaton,Prime Minister, Timothy Harris
Saint Lucia,Governor-General, Sir Neville Cenac,Prime Minister, Allen Chastanet
Saint Vincent and the Grenadines,Governor-General, Susan Dougan,Prime Minister, Ralph Gonsalves
Samoa,O le Ao o le Malo, Va'aletoa Sualauvi II,Prime Minister, Tuilaepa Aiono Sailele Malielegaoi
San Marino,Captain Regent, Nicola Selva,,
San Marino,Captain Regent, Michele Muratori,,
So Tom and Prncipe,President, Evaristo Carvalho,Prime Minister, Jorge Bom Jesus
Saudi Arabia,King, Salman,Prime Minister, Salman
Saudi Arabia,First Deputy Prime Minister, Mohammad bin Salman,,
Senegal,President, Macky Sall,,
Serbia,President, Aleksandar Vui,Prime Minister, Ana Brnabi
Seychelles,President, Danny Faure,,
Sierra Leone,President, Julius Maada Bio,Chief Minister , David J. Francis
Singapore,President, Halimah Yacob,Prime Minister, Lee Hsien Loong
Slovakia,President, Zuzana aputov,Prime Minister, Peter Pellegrini
Slovenia,President, Borut Pahor,Prime Minister, Marjan arec
Solomon Islands,Governor-General, Sir David Vunagi,Prime Minister, Manasseh Sogavare
Somalia,President, Mohamed Abdullahi Mohamed,Prime Minister, Hassan Ali Khayre
South Africa,President, Cyril Ramaphosa,,
South Korea,President, Moon Jae-in,Prime Minister, Lee Nak-yeon
South Sudan,President, Salva Kiir Mayardit,,
Spain,Spain Government, Pedro Snchez,,
Sri Lanka,President, Maithripala Sirisena,Prime Minister, Ranil Wickremesinghe
Sudan,Sudan Sovereignty Council, Abdel Fattah al-Burhan,Prime Minister, Abdalla Hamdok
Suriname,President, Dsi Bouterse,,
Sweden,King, Carl XVI Gustaf,Prime Minister, Stefan Lfven
Switzerland,Federal Council,Ueli Maurer,,
Switzerland,Federal Council,Simonetta Sommaruga (as Vice President),,
Syria,President, Bashar al-Assad,Prime Minister, Imad Khamis
Tajikistan,President, Emomali Rahmon,Prime Minister, Kokhir Rasulzoda
Tanzania,President, John Magufuli,Prime Minister, Kassim Majaliwa
Thailand,King, Maha Vajiralongkorn,Prime Minister, Prayut Chan-o-cha
Togo,President, Faure Gnassingb,Prime Minister, Komi Slom Klassou
Tonga,King, Tupou VI,Acting Prime Minister, Semisi Sika
Trinidad and Tobago,President, Paula-Mae Weekes,Prime Minister, Keith Rowley
Tunisia,Acting President, Mohamed Ennaceur,Head of Government, Youssef Chahed
Turkey,President, Recep Tayyip Erdoan,,
Turkmenistan,President, Gurbanguly Berdimuhamedow,,
Tuvalu,Governor-General, Sir Iakoba Italeli,Prime Minister, Enele Sopoaga
Uganda,President, Yoweri Museveni,Prime Minister, Ruhakana Rugunda
Ukraine,President, Volodymyr Zelensky,Prime Minister, Oleksiy Honcharuk
United Arab Emirates,President, Sheikh Khalifa bin Zayed Al Nahyan,Prime Minister, Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,Queen, Elizabeth II,Prime Minister, Boris Johnson
United States,President, Donald Trump,,
Uruguay,President, Tabar Vzquez,,
Uzbekistan,President, Shavkat Mirziyoyev,Prime Minister, Abdulla Aripov
Vanuatu,President, Tallis Obed Moses,Prime Minister, Charlot Salwai
Vatican City,Vatican City Governorate, Cardinal Giuseppe Bertello,,
Venezuela,President, Nicols Maduro,,
Vietnam,Vietnam Communist Party, Nguyn Ph Trng,,
Vietnam,President, Nguyn Ph Trng,Prime Minister, Nguyn Xun Phc
Yemen,President, Abdrabbuh Mansur Hadi,Prime Minister, Maeen Abdulmalik Saeed
Zambia,President, Edgar Lungu,,
Zimbabwe,President, Emmerson Mnangagwa,,
